Pelabuhan,Lintang,Bujur
Kota Ba Sing Se,25.0330,121.5654
Kota Omashu,10.3157,123.8854
Desa Pulau Kyoshi,10.4744,98.9305
Kota Gaoling,-0.9116,119.9004
Desa Senlin,23.5565,117.6227
Desa Makapu Oahu,21.3394,157.7147
Desa Hira'a Tahiti,15.2549,145.8150
Kota Chin Manila,14.5995,120.9842
Desa Tu Zin Cebu,10.3157,123.8854
Kota Saigon,10.8231,106.6297
Kota Kyoshi Bangkok,13.7563,100.5018
Kota Republik Singapore,1.3521,103.8198
Kota Jakarta Kerajaan Bumi,-6.2088,106.8456
Kota Surabaya Kerajaan Bumi,-7.2575,112.7521
Kota Davao Kerajaan Bumi,7.1907,125.4553
Kota Puerto Princesa Palawan,9.9672,118.7859
Kota Kuching Borneo,1.5497,110.3631
Kota Phnom Penh Kerajaan Bumi,11.5564,104.9282
Desa Full Moon Bay Kerajaan Bumi,10.6093,103.5297
Desa Pulau Ember Langkawi,6.3500,99.8000